Creative Coding with Girl Scouts of Orange County,Start,End,Mark,URL
Creative Coding with Girl Scouts of Orange County,3/15/2016 18:00,3/15/2016,Important,
Creative Coding with Girl Scouts of Orange County,4/3/2016 18:00,4/3/2016 20:00,Important,
Creative Coding with Girl Scouts of Orange County,4/19/2016 18:00,4/19/2016,Important,
"ACM-W & ACM movie night social ""Imitation Game"" (2015)",4/29/2016 19:00,4/29/2016,Warning,
Creative Coding with Girl Scouts of Orange County,5/3/2016 18:00,5/3/2016,Important,
Creative Coding with Girl Scouts of Orange County,5/24/2016 18:00,5/24/2016,Important,
 , , ,,
 , , ,,
 , , ,,
 , , ,,
 , , ,,
 , , ,,
 , , ,,
 , , ,,
 , , ,,
 , , ,,
 , , ,,
 , , ,,
 , , ,,
